id,match,cote_1,cote_N,cote_2,somme_probabilites,marge_%,trj_%,prob_1_%,prob_N_%,prob_2_%
73399218,,1.36,4.9,7.0,1.082232893157263,8.22,92.4,67.9,18.9,13.2
73399222,,1.52,4.7,4.6,1.0880519986367398,8.81,91.91,60.5,19.6,20.0
73399226,,3.7,3.45,1.9,1.0864411322077225,8.64,92.04,24.9,26.7,48.4
73399230,,3.75,4.0,1.76,1.084848484848485,8.48,92.18,24.6,23.0,52.4
73399234,,1.31,5.1,7.75,1.0884694680630194,8.85,91.87,70.1,18.0,11.9
73399238,,1.52,4.4,5.0,1.0851674641148326,8.52,92.15,60.6,20.9,18.4
73399242,,1.34,4.7,8.0,1.0840346141632264,8.4,92.25,68.8,19.6,11.5
73399250,,1.98,3.6,3.3,1.0858585858585859,8.59,92.09,46.5,25.6,27.9
73667680,,3.45,3.35,1.74,1.163075178828496,16.31,85.98,24.9,25.7,49.4
73667682,,1.18,5.4,8.0,1.1576428123038294,15.76,86.38,73.2,16.0,10.8
73667684,,2.1,3.0,2.85,1.1604010025062657,16.04,86.18,41.0,28.7,30.2
73667686,,2.4,3.3,2.25,1.1641414141414141,16.41,85.9,35.8,26.0,38.2
73667688,,1.32,4.3,6.0,1.156800563777308,15.68,86.45,65.5,20.1,14.4
73667690,,1.64,3.6,3.65,1.1615064780784794,16.15,86.1,52.5,23.9,23.6
73667692,,1.15,5.8,8.5,1.159626069318282,15.96,86.23,75.0,14.9,10.1
73667694,,4.1,3.9,1.56,1.1413383364602878,14.13,87.62,21.4,22.5,56.2
73667696,,1.15,5.7,9.0,1.1561149249936435,15.61,86.5,75.2,15.2,9.6
73667698,,2.1,3.15,2.7,1.164021164021164,16.4,85.91,40.9,27.3,31.8
73667700,,3.15,3.15,1.9,1.161236424394319,16.12,86.12,27.3,27.3,45.3
73667702,,2.9,3.2,1.98,1.1623780912574015,16.24,86.03,29.7,26.9,43.4
73667704,,3.25,3.25,1.84,1.1588628762541806,15.89,86.29,26.6,26.6,46.9
73667706,,1.54,3.85,4.0,1.1590909090909092,15.91,86.27,56.0,22.4,21.6
73667708,,2.45,3.1,2.3,1.1655265191630648,16.55,85.8,35.0,27.7,37.3
73667710,,1.92,3.2,3.05,1.1612021857923498,16.12,86.12,44.9,26.9,28.2
73667712,,4.0,3.65,1.58,1.1568839951447893,15.69,86.44,21.6,23.7,54.7
73667714,,4.4,3.65,1.52,1.1591400668545586,15.91,86.27,19.6,23.6,56.8
73667716,,2.7,3.05,2.15,1.1633555018991542,16.34,85.96,31.8,28.2,40.0
73667718,,2.85,3.25,2.0,1.1585695006747638,15.86,86.31,30.3,26.6,43.2
73667720,,1.45,4.2,4.7,1.1405163679558399,14.05,87.68,60.5,20.9,18.7
73667722,,2.0,3.25,2.85,1.1585695006747638,15.86,86.31,43.2,26.6,30.3
73667724,,4.8,3.95,1.44,1.155942334739803,15.59,86.51,18.0,21.9,60.1
73669048,,1.54,3.6,4.8,1.1354617604617605,13.55,88.07,57.2,24.5,18.3
73688868,,7.75,4.2,1.26,1.1607782898105479,16.08,86.15,11.1,20.5,68.4
73706190,,1.86,3.1,3.35,1.158722516450008,15.87,86.3,46.4,27.8,25.8
73721680,,3.3,3.2,1.9,1.1418460925039873,14.18,87.58,26.5,27.4,46.1
73736784,,2.35,3.1,2.4,1.164779226721574,16.48,85.85,36.5,27.7,35.8
73832698,,2.8,2.95,2.3,1.1309085166859671,13.09,88.42,31.6,30.0,38.4
73873124,,1.82,3.0,3.6,1.1605616605616604,16.06,86.17,47.3,28.7,23.9
73873182,,1.35,3.5,7.5,1.1597883597883598,15.98,86.22,63.9,24.6,11.5
1000200917,,1.05,30.0,14.5,1.054679802955665,5.47,94.82,90.3,3.2,6.5
