match,pari,cote,prob_ml_%,ev_%
SSV Jeddeloh II - Heidenheim,Victoire SSV Jeddeloh II,13.5,30.9,316.84
SSV Jeddeloh II - Heidenheim,Match Nul,9.0,31.6,184.02
SG Sonnenhof Grossaspach - Arminia Bielefeld,Victoire SG Sonnenhof Grossaspach,4.4,30.9,35.86
SG Sonnenhof Grossaspach - Arminia Bielefeld,Match Nul,4.3,31.6,35.7
Rot-Weiss Essen - St. Pauli,Match Nul,3.55,31.6,12.03
Fortuna Dusseldorf - Fribourg,Victoire Fortuna Dusseldorf,5.1,30.9,57.47
Fortuna Dusseldorf - Fribourg,Match Nul,4.5,31.6,42.01
Eintracht Trier - RB Leipzig,Victoire Eintracht Trier,21.0,30.9,548.42
Eintracht Trier - RB Leipzig,Match Nul,11.5,31.6,262.91
Eintracht Brunswick - Union Berlin,Match Nul,3.6,31.6,13.61
Erzgebirge Aue - TSG Hoffenheim,Victoire Erzgebirge Aue,12.5,30.9,285.96
Erzgebirge Aue - TSG Hoffenheim,Match Nul,7.5,31.6,136.68
VfL Osnabrück - Bayern Munich,Victoire VfL Osnabrück,14.5,30.9,347.72
VfL Osnabrück - Bayern Munich,Match Nul,10.0,31.6,215.58
Hamburg-Eimsbutteler Ballspiel Club 1911 - Borussia Dortmund,Victoire Hamburg-Eimsbutteler Ballspiel Club 1911,18.0,30.9,455.78
Hamburg-Eimsbutteler Ballspiel Club 1911 - Borussia Dortmund,Match Nul,11.5,31.6,262.91
Cherno More - FC Dunav Ruse,Match Nul,3.75,31.6,18.34
Cherno More - FC Dunav Ruse,Victoire FC Dunav Ruse,4.8,37.6,80.31
Levski Sofia - Spartak Varna,Match Nul,5.7,31.6,79.88
Levski Sofia - Spartak Varna,Victoire Spartak Varna,9.5,37.6,256.87
Lokomotiv Sofia - CSKA Sofia,Victoire Lokomotiv Sofia,4.5,30.9,38.95
Lokomotiv Sofia - CSKA Sofia,Match Nul,3.9,31.6,23.08
Ludogorets - Slavia Sofia,Match Nul,4.9,31.6,54.63
Ludogorets - Slavia Sofia,Victoire Slavia Sofia,7.0,37.6,162.96
FK Septemvri Sofia - FC CSKA 1948,Victoire FK Septemvri Sofia,5.2,30.9,60.56
FK Septemvri Sofia - FC CSKA 1948,Match Nul,3.9,31.6,23.08
Angers - Lille,Victoire Angers,4.7,31.4,47.75
Le Havre - Monaco,Victoire Le Havre,3.5,34.5,20.87
Le Havre - Monaco,Match Nul,3.95,26.4,4.38
Le Mans - Brest,Victoire Le Mans,2.4,54.9,31.65
Lens - Auxerre,Match Nul,4.4,23.8,4.78
Lens - Auxerre,Victoire Auxerre,4.9,29.6,44.92
Nice - Lorient,Victoire Nice,2.05,65.0,33.2
Toulouse - Lyon,Victoire Toulouse,2.8,42.2,18.16
